鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
嘉義市,房地(土地+建物),嘉義市嘉義市中山路61~90號,20.0,住,,,1070604,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690205,88.91,2,1,1,有,有,2390000,26881,,0.0,0,,RPSOMLNJPHNFFAI68CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市友和路61~90號,18.69,住,,,1070526,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830412,109.71000000000001,3,2,1,有,無,3500000,31902,坡道機械,0.0,0,,RPRNMLRJPHNFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義市博東路151~180號,16.89,住,,,1070527,土地1建物1車位0,十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870319,139.98000000000002,3,2,2,有,有,4250000,30361,,0.0,0,,RPRNMLTJPHNFFAI09CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市大同路481~510號,28.86,住,,,1070527,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830824,209.57999999999998,4,2,2,有,有,5000000,23857,坡道機械,0.0,0,,RPRPMLTJPHNFFAI66CA
嘉義市,土地,埤子頭段331~360地號,78.65,住,,,1070423,土地14建物0車位0,,,其他,,,,0.0,0,0,0,有,無,667600,8488,,0.0,0,"土增稅由買方負擔,土地上有數十棟未保存登記建物出賣人不點交,移轉面積49.29平方公尺及24.29平方公尺兩筆以每坪新台幣3萬元整計價,其餘土地不計入總金額併同移轉給買方",RPUNMLKKPHNFFAI58CA
嘉義市,土地,埤子頭段331~360地號,26.22,住,,,1070504,土地14建物0車位0,,,其他,,,,0.0,0,0,0,有,無,222500,8486,,0.0,0,"土增稅由買方負擔,土地上有數十棟未保存登記建物出賣人不點交,移轉面積8.10平方公尺及16.43平方公尺兩筆以每坪新台幣3萬元整計價,其餘土地不計入總金額併同移轉給買方",RPWNMLKKPHNFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市嘉北街66巷1~30號,32.0,住,,,1070606,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791015,159.07999999999998,4,2,2,有,有,4000000,25145,,0.0,0,,RPOOMLMKPHNFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義市自強街195巷31~60號,13.35,住,,,1070523,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791110,89.78999999999999,3,2,2,有,有,2880000,32075,,0.0,0,,RPPOMLMKPHNFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市友愛路181~210號,61.0,住,,,1070307,土地1建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),住商用,鋼筋混凝土加強磚造,0691201,135.0,5,2,2,有,無,12250000,90741,,0.0,0,,RPXNMLNKPHNFFAI56CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路一段811~840號,12.24,住,,,1070611,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820325,133.5,3,2,2,有,有,4200000,31461,,0.0,0,,RPUNMLSKPHNFFAI76CA
